EVSE_Type,Year,Accessibility
All EVSE,Year2014,30.66060383
All EVSE,Year2014,64.44447235
All EVSE,Year2014,350.1988191
All EVSE,Year2014,4.64189461
All EVSE,Year2014,11.03166394
All EVSE,Year2014,27.35028394
All EVSE,Year2014,129.0711083
All EVSE,Year2014,40.93205751
All EVSE,Year2014,30.23006492
All EVSE,Year2014,55.74357364
All EVSE,Year2014,105.053196
All EVSE,Year2014,15.97050959
All EVSE,Year2014,30.39826307
All EVSE,Year2014,125.9282185
All EVSE,Year2014,442.2318697
All EVSE,Year2014,358.1581053
All EVSE,Year2014,472.3223211
All EVSE,Year2014,453.5188722
All EVSE,Year2014,41.9333452
All EVSE,Year2014,24.86943282
All EVSE,Year2014,14.87835597
All EVSE,Year2014,25.67126744
All EVSE,Year2014,63.23029292
All EVSE,Year2014,51.80188729
All EVSE,Year2014,28.81870588
All EVSE,Year2014,110.4486828
All EVSE,Year2014,81.90908474
All EVSE,Year2014,52.26949145
All EVSE,Year2014,21.35877797
All EVSE,Year2014,67.38067185
All EVSE,Year2014,95.79921594
All EVSE,Year2014,21.70949308
All EVSE,Year2014,12.0710885
All EVSE,Year2014,76.46025287
All EVSE,Year2014,133.9329782
All EVSE,Year2014,32.57717441
All EVSE,Year2014,36.82464989
All EVSE,Year2014,9.813543423
All EVSE,Year2014,33.45090906
All EVSE,Year2014,6.502163165
All EVSE,Year2014,324.9426255
All EVSE,Year2014,27.73553601
All EVSE,Year2014,25.56334141
All EVSE,Year2014,52.15105034
All EVSE,Year2014,48.84624546
All EVSE,Year2014,111.2423632
All EVSE,Year2014,22.65759887
All EVSE,Year2014,69.61522706
All EVSE,Year2014,72.41544686
All EVSE,Year2014,89.39110434
All EVSE,Year2014,37.30841094
All EVSE,Year2014,25.22165322
All EVSE,Year2014,9.919511672
All EVSE,Year2014,97.59335338
All EVSE,Year2014,42.6956907
All EVSE,Year2014,48.3863473
All EVSE,Year2014,45.42917941
All EVSE,Year2014,20.74500895
All EVSE,Year2014,88.98738193
All EVSE,Year2014,199.6626907
All EVSE,Year2014,30.70820124
All EVSE,Year2014,58.67886766
All EVSE,Year2014,43.53008603
All EVSE,Year2014,49.33664007
All EVSE,Year2014,64.92974604
All EVSE,Year2014,84.84736198
All EVSE,Year2014,236.4036416
All EVSE,Year2014,133.9314624
All EVSE,Year2014,39.58381599
All EVSE,Year2014,167.2432091
All EVSE,Year2014,18.62404228
All EVSE,Year2014,12.58243891
All EVSE,Year2014,100.5945688
All EVSE,Year2014,52.51307538
All EVSE,Year2014,24.84756693
All EVSE,Year2014,19.97876637
All EVSE,Year2014,31.39305692
All EVSE,Year2014,105.0469822
All EVSE,Year2014,34.92766955
