EVSE_Type,Year,Accessibility
All EVSE,Year2014,0.1089439410927387
All EVSE,Year2014,4.152567471928533
All EVSE,Year2014,0.11949573053156
All EVSE,Year2014,1.797555290683182
All EVSE,Year2014,4.702142266045044
All EVSE,Year2014,0.7729219070154153
All EVSE,Year2014,1.0496752571719907
All EVSE,Year2014,0.8606706726970165
All EVSE,Year2014,2.3574628215226388
All EVSE,Year2014,16.953067357701613
All EVSE,Year2014,0.6424852922117494
All EVSE,Year2014,5.768147490630974
All EVSE,Year2014,2.9117038391338386
All EVSE,Year2014,3.515964632921045
All EVSE,Year2014,2.352498476674135
All EVSE,Year2014,1.385993618983508
All EVSE,Year2014,1.003660252816578
All EVSE,Year2014,0.273336056360557
All EVSE,Year2014,4.083776554221099
All EVSE,Year2014,2.6305741228044224
All EVSE,Year2014,1.905921171842956
All EVSE,Year2014,1.0192794007502743
All EVSE,Year2014,0.371547178792067
All EVSE,Year2014,1.6289043943632473
All EVSE,Year2014,0.0613089699633276
All EVSE,Year2014,1.1451967896291269
All EVSE,Year2014,26.36588801464804
All EVSE,Year2014,0.1670309332309791
All EVSE,Year2014,0.3856078760604131
All EVSE,Year2014,0.8461858297900497
All EVSE,Year2014,11.264056354446057
All EVSE,Year2014,2.549403063246173
All EVSE,Year2014,1.7130788456503168
All EVSE,Year2014,2.287425765300144
All EVSE,Year2014,1.9414948909083465
All EVSE,Year2014,0.5227367606061731
All EVSE,Year2014,1.7395363521014118
All EVSE,Year2014,5.838387198148351
All EVSE,Year2014,15.738971621225517
All EVSE,Year2014,15.523468845390628
All EVSE,Year2014,34.659327571191255
All EVSE,Year2014,30.326686422290663
All EVSE,Year2014,1.7358762443430915
All EVSE,Year2014,0.6173298798672013
All EVSE,Year2014,0.8555125159092865
All EVSE,Year2014,1.7291269532324172
All EVSE,Year2014,0.1283940819633052
All EVSE,Year2014,2.4598214074155016
All EVSE,Year2014,1.276118270390631
All EVSE,Year2014,0.962257939262284
All EVSE,Year2014,5.157152319084819
All EVSE,Year2014,3.823189101308523
All EVSE,Year2014,0.8611729093394391
All EVSE,Year2014,1.3372970426200002
All EVSE,Year2014,2.3069230299545604
All EVSE,Year2014,3.4826760802219603
All EVSE,Year2014,1.194925337953466
All EVSE,Year2014,0.3338336591037131
All EVSE,Year2014,3.255768857091148
All EVSE,Year2014,9.622161685357632
All EVSE,Year2014,2.117219160459435
All EVSE,Year2014,3.7871108090549943
All EVSE,Year2014,0.5672497842125219
All EVSE,Year2014,1.6606375723152518
All EVSE,Year2014,0.0808607989390135
All EVSE,Year2014,17.169873910011308
All EVSE,Year2014,0.979576441320168
All EVSE,Year2014,0.9369125702901172
All EVSE,Year2014,3.055005925348562
All EVSE,Year2014,1.1409864916651695
All EVSE,Year2014,7.203464543846262
All EVSE,Year2014,1.0343447602807094
All EVSE,Year2014,1.79447378900589
All EVSE,Year2014,2.8175968423613105
All EVSE,Year2014,2.5532347952434358
All EVSE,Year2014,2.494385203738584
All EVSE,Year2014,1.826143436374445
All EVSE,Year2014,0.8284832196606442
All EVSE,Year2014,0.3232948428776249
All EVSE,Year2014,3.8992024314926206
All EVSE,Year2014,0.5701355615679904
All EVSE,Year2014,1.8074118632682548
All EVSE,Year2014,1.4234400943592136
All EVSE,Year2014,0.7938607981117743
All EVSE,Year2014,2.7881221640242813
All EVSE,Year2014,13.388413521302953
All EVSE,Year2014,1.1190579223271138
All EVSE,Year2014,3.160328206239554
All EVSE,Year2014,2.393897640543768
All EVSE,Year2014,0.3327859320979818
All EVSE,Year2014,1.454152984733112
All EVSE,Year2014,3.1382087808802184
All EVSE,Year2014,3.281870180014945
All EVSE,Year2014,7.563426954548246
All EVSE,Year2014,5.973264897331161
All EVSE,Year2014,2.1606889346393823
All EVSE,Year2014,0.3475835084093449
All EVSE,Year2014,0.9377728706922812
All EVSE,Year2014,1.6412020385799015
All EVSE,Year2014,2.3064391137951583
All EVSE,Year2014,1.9072007219754368
All EVSE,Year2014,0.8462496441648392
All EVSE,Year2014,1.0536348213352975
All EVSE,Year2014,3.800825645427324
All EVSE,Year2014,5.189357879838182
All EVSE,Year2014,5.063867986255698
All EVSE,Year2014,7.0868930603707225
All EVSE,Year2014,7.664588047601052
All EVSE,Year2014,2.053301947616152
All EVSE,Year2014,3.1602278576148217
All EVSE,Year2014,1.0506085419085471
All EVSE,Year2014,1.5302887681848354
All EVSE,Year2014,88.97431467146099
All EVSE,Year2014,0.517667874081072
All EVSE,Year2014,1.3845737822721895
All EVSE,Year2014,4.537463011353067
All EVSE,Year2014,3.890818447997869
All EVSE,Year2014,0.6736903049147923
All EVSE,Year2014,2.194261366272293
All EVSE,Year2014,5.079830682847464
All EVSE,Year2014,6.38888711207212
All EVSE,Year2014,1.4885793167533885
All EVSE,Year2014,8.049893625960319
All EVSE,Year2014,0.7677143686042732
All EVSE,Year2014,2.6509188752377018
All EVSE,Year2014,1.6923308487452435
All EVSE,Year2014,0.9895690793379988
All EVSE,Year2014,4.373411972427195
All EVSE,Year2014,9.931730755775446
All EVSE,Year2014,0.675150944501566
All EVSE,Year2014,2.307771853183938
All EVSE,Year2014,33.74724128834054
All EVSE,Year2014,0.2177005202331918
All EVSE,Year2014,0.2567476419936909
All EVSE,Year2014,1.6094883173737309
All EVSE,Year2014,2.8256671497255628
All EVSE,Year2014,3.637708973394973
All EVSE,Year2014,1.130797138664229
All EVSE,Year2014,0.4709723180423444
All EVSE,Year2014,1.082394045753999
All EVSE,Year2014,0.9163496735905658
All EVSE,Year2014,0.4748149424681133
All EVSE,Year2014,1.2427007485609798
All EVSE,Year2014,1.3065616776094462
All EVSE,Year2014,0.6478596947110661
All EVSE,Year2014,0.8602934230269357
All EVSE,Year2014,1.7509058115021694
All EVSE,Year2014,0.9838610703840324
All EVSE,Year2014,0.6711159374062229
All EVSE,Year2014,24.974806986596665
All EVSE,Year2014,0.485688852736438
All EVSE,Year2014,0.4740757566557304
All EVSE,Year2014,0.1747175729234214
All EVSE,Year2014,0.5851866341191159
All EVSE,Year2014,1.2835181219013934
All EVSE,Year2014,1.4559210269643652
All EVSE,Year2014,0.862336569872135
All EVSE,Year2014,1.2170669087670427
All EVSE,Year2014,0.2640721556761155
All EVSE,Year2014,1.606372191415106
All EVSE,Year2014,1.0926083143014511
All EVSE,Year2014,0.5751414922766144
All EVSE,Year2014,0.6525877495284664
All EVSE,Year2014,1.5000848730683434
All EVSE,Year2014,2.5911408631855486
All EVSE,Year2014,3.2520177847906058
All EVSE,Year2014,1.8756085561649969
All EVSE,Year2014,4.075118023426481
All EVSE,Year2014,1.0929153484721226
All EVSE,Year2014,5.985307930046011
All EVSE,Year2014,3.955882315687904
All EVSE,Year2014,1.0238902645379315
All EVSE,Year2014,5.897631368531451
All EVSE,Year2014,10.319218986726629
All EVSE,Year2014,0.6089647646749221
All EVSE,Year2014,1.6599712427604594
All EVSE,Year2014,1.2191700511592
All EVSE,Year2014,7.249293289393912
All EVSE,Year2014,2.749769711406393
All EVSE,Year2014,4.043944159678472
All EVSE,Year2014,6.821362842825029
All EVSE,Year2014,4.755111470910703
All EVSE,Year2014,4.94881537772419
All EVSE,Year2014,4.41663412773429
All EVSE,Year2014,3.4275671947969166
All EVSE,Year2014,2.334882935711991
All EVSE,Year2014,5.236820315621893
All EVSE,Year2014,3.7279598016089546
All EVSE,Year2014,2.202741633753057
All EVSE,Year2014,1.677007536352027
All EVSE,Year2014,3.892408464287982
All EVSE,Year2014,7.239485713195635
All EVSE,Year2014,2.004402212907284
All EVSE,Year2014,8.323274973187159
All EVSE,Year2014,9.472109562672848
All EVSE,Year2014,41.897120118754486
All EVSE,Year2014,6.977719521837071
All EVSE,Year2014,4.611699886478131
All EVSE,Year2014,9.914347987214734
All EVSE,Year2014,4.582861900116444
All EVSE,Year2014,5.556548412109743
All EVSE,Year2014,0.2961249015047849
All EVSE,Year2014,8.672542574623511
All EVSE,Year2014,8.630717354515378
All EVSE,Year2014,4.16521529106526
All EVSE,Year2014,1.583963805243188
All EVSE,Year2014,2.1931534374282298
All EVSE,Year2014,4.658522105798831
All EVSE,Year2014,2.269595481396437
All EVSE,Year2014,0.5018563051353383
