,Year,EVSE_Count
5773,2014,1.0
5785,2014,1.0
5817,2014,6.0
5818,2014,8.0
5819,2014,4.0
5820,2014,6.0
5824,2014,6.0
5830,2014,6.0
5837,2014,4.0
5883,2014,8.0
5905,2014,4.0
5906,2014,8.0
5918,2014,8.0
5944,2014,1.0
5999,2014,8.0
6003,2014,8.0
6007,2014,4.0
6008,2014,6.0
6009,2014,6.0
6015,2014,1.0
6017,2014,1.0
6018,2014,1.0
6019,2014,2.0
6021,2014,1.0
6025,2014,4.0
6026,2014,6.0
6027,2014,6.0
6042,2014,6.0
6046,2014,8.0
6070,2014,8.0
6087,2014,6.0
6100,2014,5.0
6102,2014,6.0
6103,2014,6.0
6104,2014,4.0
6105,2014,4.0
6110,2014,6.0
6111,2014,1.0
6113,2014,6.0
6114,2014,6.0
6115,2014,4.0
6152,2014,2.0
6184,2014,2.0
6188,2014,2.0
6191,2014,2.0
6194,2014,2.0
6480,2014,1.0
6481,2014,1.0
6555,2014,1.0
6556,2014,1.0
6638,2014,2.0
6650,2014,4.0
6651,2014,4.0
6652,2014,6.0
6653,2014,6.0
6654,2014,4.0
6655,2014,4.0
6656,2014,4.0
6657,2014,4.0
6658,2014,4.0
6659,2014,6.0
6660,2014,2.0
6661,2014,6.0
6662,2014,4.0
6663,2014,4.0
6664,2014,4.0
6665,2014,6.0
6666,2014,6.0
6667,2014,6.0
6668,2014,6.0
6669,2014,3.0
6670,2014,1.0
6678,2014,1.0
6679,2014,1.0
6695,2014,1.0
6707,2014,2.0
6761,2014,1.0
6770,2014,8.0
6771,2014,6.0
6772,2014,8.0
6774,2014,1.0
6775,2014,1.0
6776,2014,3.0
6777,2014,3.0
6778,2014,1.0
6779,2014,1.0
6780,2014,3.0
6781,2014,1.0
6782,2014,1.0
6783,2014,1.0
6784,2014,1.0
6785,2014,1.0
6792,2014,1.0
6794,2014,1.0
6834,2014,1.0
6876,2014,6.0
6877,2014,4.0
6902,2014,1.0
6922,2014,1.0
6925,2014,1.0
6926,2014,4.0
6927,2014,8.0
6943,2014,1.0
6946,2014,1.0
6968,2014,1.0
6982,2014,1.0
6997,2014,1.0
7001,2014,1.0
7009,2014,2.0
7028,2014,2.0
7046,2014,1.0
7060,2014,1.0
7062,2014,8.0
7063,2014,4.0
7064,2014,4.0
7065,2014,4.0
7073,2014,1.0
7078,2014,1.0
7081,2014,1.0
7083,2014,1.0
7084,2014,1.0
7085,2014,1.0
7086,2014,1.0
7087,2014,1.0
7116,2014,1.0
7120,2014,1.0
7121,2014,1.0
7129,2014,1.0
7132,2014,1.0
7134,2014,3.0
7135,2014,1.0
7136,2014,1.0
7137,2014,1.0
7138,2014,1.0
7154,2014,1.0
7160,2014,1.0
7164,2014,1.0
7173,2014,1.0
7179,2014,4.0
7180,2014,4.0
7181,2014,4.0
7182,2014,4.0
7183,2014,4.0
7196,2014,4.0
7197,2014,3.0
7209,2014,1.0
7210,2014,1.0
7211,2014,1.0
7213,2014,2.0
7225,2014,1.0
7226,2014,1.0
7227,2014,1.0
7228,2014,1.0
7229,2014,1.0
7230,2014,1.0
7231,2014,1.0
7232,2014,1.0
7234,2014,1.0
7248,2014,1.0
7249,2014,1.0
7263,2014,1.0
7274,2014,1.0
7283,2014,1.0
7290,2014,1.0
7321,2014,1.0
7322,2014,1.0
7330,2014,1.0
7331,2014,1.0
7335,2014,1.0
7339,2014,7.0
7340,2014,6.0
7375,2014,1.0
7389,2014,1.0
7402,2014,1.0
7415,2014,7.0
7416,2014,4.0
7417,2014,6.0
7418,2014,8.0
7419,2014,4.0
7421,2014,1.0
7426,2014,1.0
7427,2014,3.0
7428,2014,1.0
7429,2014,3.0
7430,2014,1.0
7431,2014,3.0
7432,2014,1.0
7433,2014,1.0
7434,2014,1.0
7435,2014,3.0
7436,2014,1.0
7437,2014,1.0
7441,2014,1.0
7442,2014,1.0
7443,2014,1.0
7445,2014,1.0
7451,2014,1.0
7452,2014,1.0
7453,2014,1.0
7454,2014,1.0
7455,2014,1.0
7456,2014,1.0
7457,2014,1.0
7458,2014,1.0
7459,2014,1.0
7460,2014,1.0
7461,2014,1.0
7462,2014,1.0
7463,2014,1.0
7464,2014,1.0
7465,2014,1.0
7466,2014,1.0
7486,2014,1.0
7487,2014,1.0
7506,2014,1.0
7508,2014,2.0
7537,2014,2.0
7542,2014,8.0
7543,2014,8.0
7565,2014,2.0
7568,2014,2.0
7593,2014,1.0
7595,2014,1.0
7596,2014,3.0
7597,2014,3.0
7598,2014,3.0
7599,2014,2.0
7600,2014,1.0
7601,2014,1.0
7602,2014,1.0
7611,2014,1.0
7658,2014,1.0
7687,2014,1.0
7696,2014,1.0
7700,2014,1.0
7720,2014,1.0
7727,2014,1.0
7728,2014,1.0
7735,2014,1.0
7736,2014,1.0
7737,2014,1.0
7738,2014,1.0
7739,2014,6.0
7740,2014,6.0
7741,2014,6.0
